DATE,USER_ID,SALES
6/1/23,3,5.89
6/1/23,79,13.08
6/1/23,75,6.88
6/1/23,76,7.63
6/1/23,100,3.5
6/1/23,198,7.49
6/1/23,130,19.99
6/1/23,254,6.99
6/1/23,166,5.49
6/1/23,324,6.88
6/1/23,168,4.97
6/1/23,338,9.48
6/1/23,340,16.48
6/1/23,394,6.99
6/1/23,404,6.24
6/1/23,465,4.99
6/1/23,303,6.88
6/1/23,266,4.22
6/1/23,520,7.63
6/1/23,26,3.5
6/1/23,298,3.5
6/1/23,299,5.49
6/1/23,334,7.63
6/1/23,651,6.99
6/1/23,653,4.61
6/1/23,365,7.63
6/1/23,712,5.79
6/1/23,367,7.29
6/1/23,713,4.24
6/1/23,715,6.88
6/1/23,771,7.53
6/1/23,775,7.63
6/1/23,777,5.24
6/1/23,428,5.99
6/1/23,835,18.99
6/1/23,895,5.09
6/1/23,461,3.5
6/1/23,897,8.39
6/1/23,957,6.99
6/1/23,495,6.39
6/1/23,64,4.99
6/1/23,1023,6.74
6/1/23,1078,7.63
6/1/23,558,4.99
6/1/23,630,5.22
6/1/23,1218,5.04
6/1/23,667,6.99
6/1/23,671,7.29
6/1/23,706,6.88
6/1/23,1360,7.63
6/1/23,709,6.99
6/1/23,1364,8.28
6/1/23,1418,7.63
6/1/23,740,4.89
6/1/23,1420,4.49
6/1/23,728,5.79
6/1/23,1423,4.22
6/1/23,1425,6.88
6/1/23,1551,6.88
6/1/23,813,10.5
6/1/23,1553,5.49
6/1/23,819,6.24
6/1/23,849,7.29
6/1/23,1679,7.39
6/1/23,883,5.99
6/1/23,884,3.84
6/1/23,1698,6.65
6/1/23,1744,4.99
6/1/23,1789,7.63
6/1/23,966,6.99
6/1/23,1832,4.74
6/1/23,1834,5.9
6/1/23,1878,6.88
6/1/23,1022,3.5
6/1/23,1927,7.99
6/1/23,1024,7.29
6/1/23,1027,4.84
6/1/23,1053,19.99
6/1/23,1985,7.63
6/1/23,1056,6.89
6/1/23,1991,17.59
6/1/23,1088,8.99
6/1/23,2053,3.69
6/1/23,1090,6.09
6/1/23,2055,6.24
6/1/23,2111,3.5
6/1/23,2172,3.5
6/1/23,2174,4.99
6/1/23,1156,7.99
6/1/23,1190,12.48
6/1/23,2240,5.99
6/1/23,2242,3.5
6/1/23,1192,5.79
6/1/23,2247,3.89
6/1/23,2314,6.65
6/1/23,2316,3.5
6/1/23,2319,6.99
6/1/23,2372,3.5
6/1/23,1289,4.22
6/1/23,2418,5.74
6/1/23,1291,7.63
6/1/23,2420,3.5
6/1/23,1293,5.04
6/1/23,1294,4.99
6/1/23,2424,4.97
6/1/23,2475,5.84
6/1/23,2477,6.99
6/1/23,1326,4.99
6/1/23,2483,6.88
6/1/23,2485,5.22
6/1/23,2547,4.09
6/1/23,1390,5.04
6/1/23,1391,6.99
6/1/23,2600,13.3
6/1/23,1392,4.61
6/1/23,1395,6.99
6/1/23,2032,3.5
6/1/23,2651,6.99
6/1/23,1425,6.64
6/1/23,2701,4.22
6/1/23,1455,6.39
6/1/23,2707,6.88
6/1/23,1487,7.63
6/1/23,2759,5.99
6/1/23,1488,5.22
6/1/23,1490,7.08
6/1/23,2765,5.22
6/1/23,1553,14
6/1/23,1554,7.99
6/1/23,2878,7.63
6/1/23,1591,7.29
6/1/23,424,6.88
6/1/23,2944,8.99
6/1/23,2948,4.74
6/1/23,3002,6.39
6/1/23,3004,4.74
6/1/23,1626,4.22
6/1/23,1663,5.22
6/1/23,3118,7.63
6/1/23,1693,7.39
6/1/23,1729,7.63
6/1/23,1761,6.88
6/1/23,3284,7.63
6/1/23,1826,3.84
6/1/23,3351,13.76
6/1/23,1831,4.99
6/1/23,3355,6.88
6/1/23,3403,6.59
6/1/23,1860,6.49
6/1/23,3405,5.34
6/1/23,3463,5.79
6/1/23,1893,6.24
6/1/23,3465,5.19
6/1/23,3523,10.08
6/1/23,1954,4.47
6/1/23,1955,6.09
6/1/23,3619,5.22
6/1/23,3622,4.22
6/1/23,3626,4.24
6/1/23,3677,6.24
6/1/23,3741,7.49
6/1/23,3744,4.22
6/1/23,2051,4.47
6/1/23,2052,4.74
6/1/23,3808,6.99
6/1/23,2089,6.99
6/1/23,2090,4.24
6/1/23,2093,7.63
6/2/23,1,7.63
6/2/23,2,6.49
6/2/23,3,7.63
6/2/23,4,7.24
6/2/23,87,3.5
6/2/23,45,4.22
6/2/23,73,5.99
6/2/23,74,7.63
6/2/23,194,5.89
6/2/23,101,6.99
